property_type,sector,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_cat,floor catt,price
Flat,sector 69,4.0,4.0,1,Relatively New,2186.0,0,0,0,Medium,mid,2.0
Flat,sector 85,2.0,2.0,2,New Property,1484.0,0,0,0,Medium,high,1.3
Flat,sohna road,2.0,2.0,3,Under Construction,561.0,0,0,0,Low,mid,0.4
Flat,sector 90,3.0,3.0,3+,Relatively New,1817.0,1,0,0,High,mid,1.29
Flat,sector 50,3.0,3.0,3,Relatively New,1894.0,0,0,2,Medium,mid,2.5
Flat,sector 85,4.0,4.0,3+,New Property,3150.0,0,0,0,Low,high,2.7
Flat,sector 81,3.0,3.0,3+,Relatively New,1600.0,1,0,1,Low,mid,2.25
Flat,sector 99a,3.0,5.0,3,New Property,3474.0,1,0,0,Medium,mid,1.32
Flat,sector 85,3.0,4.0,2,Relatively New,1650.0,1,0,0,Low,mid,1.2
Flat,sector 85,2.0,2.0,3,Relatively New,1484.0,0,0,0,Medium,lower,1.14
Flat,sector 48,3.0,3.0,1,Relatively New,1611.0,0,0,0,Medium,lower,1.38
Flat,sector 12,3.0,3.0,2,Relatively New,995.0,0,0,2,Low,lower,0.53
Flat,sector 85,4.0,5.0,3+,Relatively New,2544.0,1,1,0,Medium,lower,2.0
Flat,sector 90,3.0,3.0,3+,Relatively New,1645.0,0,0,2,Medium,high,1.15
Flat,sector 102,3.0,3.0,3+,Relatively New,3287.0,0,0,0,Medium,lower,2.04
Flat,sector 77,3.0,3.0,3,New Property,1600.0,1,0,2,Low,lower,1.79
Flat,sector 108,3.0,2.0,No,Relatively New,1990.0,0,0,2,Medium,lower,1.25
Flat,sector 85,2.0,2.0,3,Relatively New,1660.0,0,0,0,Low,high,1.2
House,sector 13,10.0,10.0,2,Old Property,400.0,0,0,0,Low,lower,2.25
Flat,sector 61,2.0,2.0,2,New Property,1278.0,0,0,0,Medium,lower,1.47
Flat,sector 82,3.0,3.0,3,Relatively New,1800.0,0,0,2,High,lower,1.28
Flat,sector 50,3.0,3.0,3+,Moderately Old,1830.0,0,0,2,High,mid,1.82
Flat,sector 61,3.0,4.0,3+,Under Construction,3424.0,1,0,0,Medium,high,3.87
